id,station_id,station_name_ko,station_name_en,station_name_en_trans,station_name_ja
POI012,ST-174,359. 원남동사거리,359. Wonnam-dong Intersection,359. Wonnam-dong Intersection,359.ウォンナム洞交差点
POI012,ST-154,338. 세운스퀘어 앞,338. In front of Seun Square,338. In front of Seun Square,338.セウンスクエア前
POI012,ST-1808,3411.종묘,3411. Seed,3411. Seed,3411.ジョンミョ
POI012,ST-1810,3413.종로플레이스,3413. Jongno Place,3413. Jongno Place,3413.鍾路プレイス
POI012,ST-1807,3410.종로3가역 8번출구,3410. Jongno 3-ga Station Exit 8,3410. Jongno 3-ga Station Exit 8,3410.鍾路3街駅8番出口
POI012,ST-155,339. 종로4가 사거리,339. Jongno 4-ga Intersection,339. Jongno 4-ga Intersection,339.鍾路4街交差点
POI015,ST-98,501. 광진구의회 앞,501. In front of Gwangjin-gu Council,501. In front of Gwangjin-gu Council,501.光津区議会前
POI015,ST-1660,3533. 건대입구역 사거리(롯데백화점),3533. Konkuk University Station Intersection (Lotte Department Store),3533. Konkuk University Station Intersection (Lotte Department Store),3533. 建大入口駅交差点(ロッテ百貨店)
POI015,ST-1661,3534. 건대입구역 5번출구 뒤,3534. Behind exit 5 of Konkuk University Station,3534. Behind exit 5 of Konkuk University Station,3534. 建大入口駅5番出口の後
POI017,ST-2667,4316. 고속터미널역 3번출구,4316. Express Bus Terminal Station Exit 3,4316. Express Bus Terminal Station Exit 3,4316. 高速ターミナル駅3番出口
POI030,ST-2173,849. 삼각지 자이아파트,849. Samgakji Zia Apartment,849. Samgakji Zia Apartment,849. 三角地ジャイアパート
POI030,ST-2172,848. 삼각지12번 출구,848. Samgakji Exit 12,848. Samgakji Exit 12,848.三角地12番出口
POI030,ST-2451,4620. 삼각지역 14번 출구 앞(교통섬),4620. In front of Exit 14 of Samgakji Station (traffic island),4620. In front of Exit 14 of Samgakji Station (traffic island),4620. 三角地域14番出口前（交通島）
POI032,ST-2031,2715.마곡나루역 2번 출구,2715. Magoknaru Station Exit 2,2715. Magoknaru Station Exit 2,2715.マゴックナル駅2番出口
POI032,ST-1718,2701. 마곡나루역 5번출구 뒤편,2701. Behind Exit 5 of Magoknaru Station,2701. Behind Exit 5 of Magoknaru Station,2701. マゴックナル駅5番出口の裏側
POI032,ST-2042,2725.서울식물원 식물문화센터,2725. Seoul Botanical Garden Plant Culture Center,2725. Seoul Botanical Garden Plant Culture Center,2725.ソウル植物園植物文化センター
POI032,ST-2044,2727.서울식물원 잔디마당 앞,2727. In front of the lawn of Seoul Botanical Garden,2727. In front of the lawn of Seoul Botanical Garden,2727.ソウル植物園の芝生庭の前
POI032,ST-2045,2728.마곡나루역 3번 출구,2728. Magoknaru Station Exit 3,2728. Magoknaru Station Exit 3,2728.マゴックナル駅3番出口
POI032,ST-3261,5098. LG사이언스파크 W4동,5098. LG Science Park W4 Building,5098. LG Science Park W4 Building,5098. LGサイエンスパークW4棟
POI032,ST-3259,5097. LG사이언스파크 E2동,5097. LG Science Park E2 Building,5097. LG Science Park E2 Building,5097. LGサイエンスパークE2ドン
POI032,ST-3324,6177. 마곡롯데캐슬르웨스트,6177. Magok Lotte Castle West,6177. Magok Lotte Castle West,6177.マゴックロッテキャッスルウエスト
POI033,ST-194,379. 서울역9번출구,379. Seoul Station Exit 9,379. Seoul Station Exit 9,379.ソウル駅9番出口
POI033,ST-1670,435. SK 남산빌딩,435. SK Namsan Building,435. SK Namsan Building,435. SK南山ビル
POI033,ST-1791,485.서울역5번출구,485. Seoul Station Exit 5,485. Seoul Station Exit 5,485.ソウル駅5番出口
POI033,ST-2430,4760. 서울역 7번출구,4760. Seoul Station Exit 7,4760. Seoul Station Exit 7,4760.ソウル駅7番出口
POI033,ST-2786,4794. 서울역 서부교차로(3),4794. Seoul Station West Intersection (3),4794. Seoul Station West Intersection (3),4794. ソウル駅西部交差点(3)
POI037,ST-1926,2542.신논현타워 앞,2542. In front of Shinnonhyeon Tower,2542. In front of Shinnonhyeon Tower,2542.新ノン県タワー前
POI037,ST-787,2302. 교보타워 버스정류장(신논현역 3번출구 후면),2302. Kyobo Tower Bus Stop (behind Exit 3 of Sinnonhyeon Station),2302. Kyobo Tower Bus Stop (behind Exit 3 of Sinnonhyeon Station),2302.京保タワーバス停（新ノンヒョン駅3番出口後面）
POI037,ST-3332,4347. 논현지하보도,4347. Nonhyeon Underpass,4347. Nonhyeon Underpass,4347. ノン現地下報道
POI039,ST-976,2136. 신림역 8번출구,2136. Sillim Station Exit 8,2136. Sillim Station Exit 8,2136. 新林駅8番出口
POI039,ST-1270,2175. 신림동걷고싶은문화의거리입구,2175. Entrance to Sillim-dong's Walking Culture Street,2175. Entrance to Sillim-dong's Walking Culture Street,2175.新林洞を歩きたい文化の街の入り口
POI039,ST-702,2102. 봉림교 교통섬,2102. Bongnim Bridge Traffic Island,2102. Bongnim Bridge Traffic Island,2102. 奉林橋交通島
POI040,ST-36,134. 연세로 명물길,134. Famous street in Yeonsei,134. Famous street in Yeonsei,134. 延世で名物道
POI040,ST-37,135. 명물길 원형무대 앞,135. In front of the circular stage on Myeongmul-gil,135. In front of the circular stage on Myeongmul-gil,135.名物道原型舞台前
POI040,ST-31,129. 신촌역(2호선) 6번출구 옆,129. Next to Exit 6 of Sinchon Station (Line 2),129. Next to Exit 6 of Sinchon Station (Line 2),129.新村駅（2号線）6番出口の横
POI040,ST-32,130. 신촌역(2호선) 7번출구 앞,130. In front of Exit 7 of Sinchon Station (Line 2),130. In front of Exit 7 of Sinchon Station (Line 2),130.新村駅（2号線）7番出口前
POI040,ST-39,137. 신촌기차역입구 교차로,137. Sinchon Station Entrance Intersection,137. Sinchon Station Entrance Intersection,137.新村鉄道駅入口交差点
POI040,ST-2201,3116.신촌역 4번출구,3116. Sinchon Station Exit 4,3116. Sinchon Station Exit 4,3116.新村駅4番出口
POI040,ST-3021,4248. 신촌 교보빌딩,4248. Kyobo Building in Sinchon,4248. Kyobo Building in Sinchon,4248. 新村京保ビル
POI040,ST-3140,4274. 신촌 파랑고래 입구,4274. Sinchon Blue Whale Entrance,4274. Sinchon Blue Whale Entrance,4274. 新村青鯨入口
POI040,ST-30,128. 신촌역(2호선) 1번출구 옆,128. Next to Exit 1 of Sinchon Station (Line 2),128. Next to Exit 1 of Sinchon Station (Line 2),128.新村駅（2号線）1番出口の横
POI040,ST-207,150. 서강대역 2번출구 앞,150. In front of Exit 2 of Sogang University Station,150. In front of Exit 2 of Sogang University Station,150. 西江帯2番出口前
POI042,ST-1680,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),2410. POSCO P&S Tower (near Exit 3 of Yeoksam Station),2410. POSCO P&S Tower (near Exit 3 of Yeoksam Station),2410. ポスコピアンエスタワー（駅三駅3番出口付近）
POI042,ST-1896,2430.강남파이낸스센터앞(역삼역2번출구),2430. In front of Gangnam Finance Center (Yeoksam Station Exit 2),2430. In front of Gangnam Finance Center (Yeoksam Station Exit 2),2430.江南ファイナンスセンター前（駅三駅2番出口）
POI042,ST-959,2349. 역삼빌딩 앞(하나은행 옆),2349. In front of Yeoksam Building (next to Hana Bank),2349. In front of Yeoksam Building (next to Hana Bank),2349. 駅三ビル前(花銀行横)
POI045,ST-241,525. 한양대병원사거리,525. Hanyang University Hospital Intersection,525. Hanyang University Hospital Intersection,525.漢陽大病院交差点
POI045,ST-360,559. 왕십리역 4번 출구 건너편,559. Across from Wangsimni Station Exit 4,559. Across from Wangsimni Station Exit 4,559. 王十里駅4番出口を渡る
POI045,ST-2327,3545.한양대역 1번출구,3545. Hanyang University Station Exit 1,3545. Hanyang University Station Exit 1,3545.漢陽帯1番出口
POI045,ST-2343,3561.행당동 삼부APT후문,3561. Haengdang-dong Sambu APT back door,3561. Haengdang-dong Sambu APT back door,3561.行党洞三部APT後門
POI045,ST-359,558. 성동광진 교육지원청 앞,558. In front of Seongdong Gwangjin Office of Education,558. In front of Seongdong Gwangjin Office of Education,558.城東広津教育支援庁前
POI046,ST-1615,845. 용산 선인상가,845. Yongsan Seonin Shopping Mall,845. Yongsan Seonin Shopping Mall,845. 龍山サイン街
POI046,ST-2177,853.용산역 맞은편,853. Across from Yongsan Station,853. Across from Yongsan Station,853.龍山駅の向かい
POI046,ST-2437,4604. 원효로다목적체육관 앞,4604. In front of Wonhyo-ro Multipurpose Gymnasium,4604. In front of Wonhyo-ro Multipurpose Gymnasium,4604.ウォンヒョロ多目的体育館前
POI046,ST-2448,4617. 동원베네스트 건너편,4617. Across from Dongwon Benest,4617. Across from Dongwon Benest,4617. ドンウォンベネストを渡る
POI046,ST-2447,4616. 신용산지하차도 앞,4616. In front of Sinyongsan Underpass,4616. In front of Sinyongsan Underpass,4616. 信用山地下車も前
POI046,ST-327,806. 전자랜드 본관 앞,806. In front of the main building of Electronic Land,806. In front of the main building of Electronic Land,806. 電子ランド本館前
POI053,ST-7,105. 합정역 5번출구 앞,105. In front of Exit 5 of Hapjeong Station,105. In front of Exit 5 of Hapjeong Station,105.ハプジョン駅5番出口前
POI053,ST-2156,497.합정동주민센터 앞,497. In front of Hapjeong-dong Community Center,497. In front of Hapjeong-dong Community Center,497.ハプジョンドン住民センターの前
POI053,ST-8,106. 합정역 7번출구 앞,106. In front of Exit 7 of Hapjeong Station,106. In front of Exit 7 of Hapjeong Station,106.ハプジョン駅7番出口前
POI053,ST-2534,4211. 시석빌딩 앞,4211. In front of Siseok Building,4211. In front of Siseok Building,4211. 市石ビル前
POI054,ST-158,342. 대학로 마로니에공원,342. Daehakro Marronnier Park,342. Daehakro Marronnier Park,342. 大学路マロニエ公園
POI054,ST-173,358. 성균관대입구 사거리 A,358. Sungkyunkwan University Entrance Intersection A,358. Sungkyunkwan University Entrance Intersection A,358.成均館大入口交差点A
POI054,ST-157,341. 혜화역 3번출구 뒤,341. Behind Exit 3 of Hyehwa Station,341. Behind Exit 3 of Hyehwa Station,341.ヘファ駅3番出口の後
POI054,ST-1816,3419.국립어린이과학관,3419. National Children's Science Museum,3419. National Children's Science Museum,3419.国立子供科学館
POI054,ST-1817,3420. 성균관대입구 사거리 B,3420. Sungkyunkwan University Entrance Intersection B,3420. Sungkyunkwan University Entrance Intersection B,3420.成均館大入口交差点B
POI054,ST-1818,3421.혜화역 1번출구,3421. Hyehwa Station Exit 1,3421. Hyehwa Station Exit 1,3421.ヘファ駅1番出口
POI058,ST-1076,1257. 가락시장역 사거리,1257. Garak Market Station Intersection,1257. Garak Market Station Intersection,1257.ガラク市場駅交差点
POI058,ST-2410,2659.서울친환경유통센터,2659. Seoul Eco-Friendly Distribution Center,2659. Seoul Eco-Friendly Distribution Center,2659.ソウル環境に配慮した流通センター
POI058,ST-2409,2658.가락몰 업무동,2658. Garak Mall Business Building,2658. Garak Mall Business Building,2658.ガラックモール業務洞
POI058,ST-2591,4480. 가락시장 남1문 사거리,4480. Garak Market South Gate 1 Intersection,4480. Garak Market South Gate 1 Intersection,4480.ガラック市場南1門交差点
POI058,ST-2606,4854. 가락시장역 2번 출구,4854. Garak Market Station Exit 2,4854. Garak Market Station Exit 2,4854.ガラク市場駅2番出口
POI059,ST-1171,2362. 신사동 가로수길 입구,2362. Entrance to Garosu-gil in Sinsa-dong,2362. Entrance to Garosu-gil in Sinsa-dong,2362. 新沙洞カロスキル入口
POI059,ST-2673,3606. 신사동주민센터 옆,3606. Next to Shinsa-dong Community Center,3606. Next to Shinsa-dong Community Center,3606. 新沙洞住民センターの隣
POI059,ST-3066,4903. 신사스퀘어,4903. Shinsa Square,4903. Shinsa Square,4903. 神社スクエア
POI059,ST-3078,4907. 극동스포츠 앞,4907. In front of Far East Sports,4907. In front of Far East Sports,4907.極東スポーツ前
POI063,ST-1150,2058. 동작경찰서,2058. Dongjak Police Station,2058. Dongjak Police Station,2058. 運用警察署
POI063,ST-877,2003. 사육신공원앞,2003. In front of Saryushin Park,2003. In front of Saryushin Park,2003. 飼育神公園前
POI063,ST-1545,2070. 노량진역 2번 출구 앞,2070. In front of Exit 2 of Noryangjin Station,2070. In front of Exit 2 of Noryangjin Station,2070. ノリャンジン駅2番出口前
POI063,ST-683,2002. 노들역 1번출구,2002. Nodeul Station Exit 1,2002. Nodeul Station Exit 1,2002.ノードル駅1番出口
POI063,ST-699,2050. 노량진역 5번출구,2050. Noryangjin Station Exit 5,2050. Noryangjin Station Exit 5,2050. ノリャンジン駅5番出口
POI064,ST-2923,4715. 돈의문 박물관 마을,4715. Donuimun Museum Village,4715. Donuimun Museum Village,4715. 金義門博物館村
POI064,ST-977,391. 시립미술관,391. City Art Museum,391. City Art Museum,391. 市立美術館
POI064,ST-116,300. 정동사거리,300. Jeongdong Intersection,300. Jeongdong Intersection,300.チョンドン交差点
POI066,ST-979,451. 청와대앞길,451. Cheongwadae-gil,451. Cheongwadae-gil,451.大統領府前の道
POI066,ST-168,352. 중앙고입구 삼거리,352. Jungang High School Entrance Intersection,352. Jungang High School Entrance Intersection,352.中央高入口三叉路
POI066,ST-1759,465. 삼청공원 앞,465. In front of Samcheong Park,465. In front of Samcheong Park,465. 三清公園前
POI066,ST-170,354. 포르투갈 대사관 앞,354. In front of the Portuguese Embassy,354. In front of the Portuguese Embassy,354. ポルトガル大使館前
POI066,ST-130,314. 국립현대미술관,314. National Museum of Modern and Contemporary Art,314. National Museum of Modern and Contemporary Art,314. 国立現代美術館
POI066,ST-1756,464. 삼청동 골목,464. Samcheong-dong Alley,464. Samcheong-dong Alley,464. 三清洞路地
POI066,ST-169,353. 재동초교 앞 삼거리,353. Three-way intersection in front of Jaedong Elementary School,353. Three-way intersection in front of Jaedong Elementary School,353. 再東小学校前の三通り
POI066,ST-1804,3407.안국동사거리(신),3407. Anguk-dong Intersection (New),3407. Anguk-dong Intersection (New),3407.安国洞交差点（神）
POI066,ST-3090,4719. 종로문화원 건너편,4719. Across from Jongno Cultural Center,4719. Across from Jongno Cultural Center,4719. 鍾路文化院を渡る
POI066,ST-2565,4705. 웰니스센터(민방위교육장 앞),4705. Wellness Center (in front of the Civil Defense Training Center),4705. Wellness Center (in front of the Civil Defense Training Center),4705. ウェルネスセンター(民防衛教育場前)
POI067,ST-978,450. 효자동 삼거리,450. Hyoja-dong intersection,450. Hyoja-dong intersection,450. ヒョジャドン三叉路
POI067,ST-165,349. 어린이도서관,349. Children's Library,349. Children's Library,349. 子ども図書館
POI067,ST-3354,4721. 통인시장 정자,4721. Tongin Market Pavilion,4721. Tongin Market Pavilion,4721. 統人市場精子
POI067,ST-2473,4710. 자교교회 앞,4710. In front of Jagyo Church,4710. In front of Jagyo Church,4710. 自教教会の前
POI068,ST-112,514. 성수사거리 버스정류장 앞,514. In front of Seongsu Intersection bus stop,514. In front of Seongsu Intersection bus stop,514.聖水交差点バス停前
POI068,ST-506,589. 성수역3번출구,589. Seongsu Station Exit 3,589. Seongsu Station Exit 3,589. 城水駅3番出口
POI068,ST-482,587. 유니베라 앞,587. In front of Univera,587. In front of Univera,587. ユニベラ前
POI068,ST-111,513. 뚝섬역 5번 출구 정류소 옆,513. Next to the bus stop at Exit 5 of Ttukseom Station,513. Next to the bus stop at Exit 5 of Ttukseom Station,513. トゥクソム駅5番出口停留所の隣
POI068,ST-2330,3548.뚝섬역 6번출구,3548. Ttukseom Station Exit 6,3548. Ttukseom Station Exit 6,3548.トゥクソム駅6番出口
POI068,ST-3325,4398. 유원지식산업센터 앞,4398. In front of the Yuwon Knowledge Industry Center,4398. In front of the Yuwon Knowledge Industry Center,4398. 遊園知識産業センター前
POI068,ST-3121,4387. 성수역 1번출구 주변,4387. Around Seongsu Station Exit 1,4387. Around Seongsu Station Exit 1,4387. 城水駅1番出口周辺
POI068,ST-3003,4377. 우영테크노센터 앞,4377. In front of Wooyoung Techno Center,4377. In front of Wooyoung Techno Center,4377.ウヨンテクノセンター前
POI068,ST-3326,4399. 더리브 세종타워 앞,4399. In front of The Live Sejong Tower,4399. In front of The Live Sejong Tower,4399. ダリブ世宗タワー前
POI071,ST-1174,2365. K+ 타워 앞,2365. In front of K+ Tower,2365. In front of K+ Tower,2365. K+ タワー前
POI071,ST-1895,2429.압구정로데오역 6번출구,2429. Apgujeong Rodeo Station Exit 6,2429. Apgujeong Rodeo Station Exit 6,2429.狎鴎亭ロデオ駅6番出口
POI071,ST-794,2310. 청담동 맥도날드 옆(위치),2310. Next to McDonald's in Cheongdam-dong (location),2310. Next to McDonald's in Cheongdam-dong (location),2310. 清潭洞マクドナルドの横（位置）
POI072,ST-64,215. 여의도고교 앞,215. In front of Yeouido High School,215. In front of Yeouido High School,215.汝矣島高校前
POI072,ST-50,204. 국회의사당역 5번출구 옆,204. Next to Exit 5 of National Assembly Station,204. Next to Exit 5 of National Assembly Station,204.国会議事堂駅5番出口の隣
POI072,ST-73,207. 여의나루역 1번출구 앞,207. In front of Exit 1 of Yeouinaru Station,207. In front of Exit 1 of Yeouinaru Station,207.ヨイナル駅1番出口前
POI072,ST-47,202. 국민일보 앞,202. In front of the Kookmin Ilbo,202. In front of the Kookmin Ilbo,202.国民日報前
POI072,ST-72,226. 샛강역 1번출구 앞,226. In front of Exit 1 of Saetgang Station,226. In front of Exit 1 of Saetgang Station,226. シャッガン駅1番出口前
POI072,ST-60,214. 금융감독원 앞,214. In front of the Financial Supervisory Service,214. In front of the Financial Supervisory Service,214.金融監督院前
POI072,ST-55,209. 유진투자증권빌딩 앞,209. In front of Eugene Investment & Securities Building,209. In front of Eugene Investment & Securities Building,209.ユージン投資証券ビル前
POI072,ST-59,213. KT앞,213. In front of KT,213. In front of KT,213. KT前
POI072,ST-52,205. 산업은행 앞,205. In front of the Industrial Bank of Korea,205. In front of the Industrial Bank of Korea,205. 産業銀行前
POI072,ST-68,222. 시범아파트버스정류장 옆,222. Next to the demonstration apartment bus stop,222. Next to the demonstration apartment bus stop,222. パイロットアパートバス停の隣
POI072,ST-414,260. 여의도 마리나선착장 앞,260. In front of Yeouido Marina Pier,260. In front of Yeouido Marina Pier,260.汝矣島マリーナ船着場前
POI072,ST-424,270. 증권거래소후문교차로,270. Stock Exchange Back Gate Intersection,270. Stock Exchange Back Gate Intersection,270. 証券取引小후門交差点
POI072,ST-296,248. 초원아파트 앞,248. In front of Chowon Apartment,248. In front of Chowon Apartment,248. 草原アパートの前
POI072,ST-51,203. 국회의사당역 3번출구 옆,203. Next to Exit 3 of National Assembly Station,203. Next to Exit 3 of National Assembly Station,203.国会議事堂駅3番出口の隣
POI072,ST-1969,297.국회3문,297. National Assembly Gate 3,297. National Assembly 3rd Question,297.国会3門
POI072,ST-425,271. 샛강생태공원방문자센터 앞,271. In front of Saetgang Ecological Park Visitor Center,271. In front of Saetgang Ecological Park Visitor Center,271. シャンガン生態公園訪問者センター前
POI072,ST-70,224. 롯데캐슬 앞,224. In front of Lotte Castle,224. In front of Lotte Castle,224. ロッテキャッスル前
POI072,ST-53,206. KBS 앞,206. In front of KBS,206. In front of KBS,206. KBSの前
POI072,ST-62,219. 롯데캐슬엠파이어 옆,219. Next to Lotte Castle Empire,219. Next to Lotte Castle Empire,219.ロッテキャッスルエンパイアの隣
POI072,ST-63,220. 미성아파트 A동 앞,220. In front of Building A of Miseong Apartment,220. In front of Building A of Miseong Apartment,220.未成アパートA棟前
POI072,ST-67,221. 여의도초교 앞,221. In front of Yeouido Elementary School,221. In front of Yeouido Elementary School,221.汝矣島小学校前
POI072,ST-1970,298.KBS 연구동 건너편,298. Across from KBS Research Building,298. Across from KBS Research Building,298.KBS研究洞を渡る
POI072,ST-297,249. 여의도중학교 옆,249. Next to Yeouido Middle School,249. Next to Yeouido Middle School,249.汝矣島中学校の隣
POI072,ST-1971,299.여의도 순복음교회,299. Yoido Full Gospel Church,299. Yoido Full Gospel Church,299.ヨイド純福音教会
POI072,ST-71,225. 앙카라공원 앞,225. In front of Ankara Park,225. In front of Ankara Park,225. アンカラ公園前
POI072,ST-46,201. 진미파라곤 앞,201. In front of Jinmi Paragon,201. In front of Jinmi Paragon,201.ジンミパラゴン前
POI072,ST-66,217. NH농협은행 앞,217. In front of NH Nonghyup Bank,217. In front of NH Nonghyup Bank,217. NH農協銀行前
POI072,ST-69,223. 진주아파트상가 앞,223. In front of Jinju Apartment Shopping Center,223. In front of Jinju Apartment Shopping Center,223.真珠アパート商店街前
POI072,ST-3239,5870. LG트윈타워 앞,5870. In front of LG Twin Towers,5870. In front of LG Twin Towers,5870. LGツインタワー前
POI072,ST-3061,5853. 여의도역2번출구 앞,5853. In front of Exit 2 of Yeouido Station,5853. In front of Exit 2 of Yeouido Station,5853.汝矣島駅2番出口前
POI072,ST-3319,5880. 국회박물관,5880. National Assembly Museum,5880. National Assembly Museum,5880. 国会博物館
POI072,ST-3377,5889.의원회관출입구 앞,5889. In front of the entrance to the National Assembly Building,5889. In front of the entrance to the National Assembly Building,5889. 議員会館出入口前
POI072,ST-3318,5879. 국회도서관 2문 앞,5879. In front of Gate 2 of the National Assembly Library,5879. In front of Gate 2 of the National Assembly Library,5879. 国会図書館2門前
